dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.16023268112109995;0.10241236627684154;[[5, 5, 19, 48, 25, 84, 59], [7, 4, 2, 42, 9, 83, 4], [17, 5, 13, 35, 63, 154, 5], [20, 40, 7, 204, 32, 239, 30], [17, 2, 5, 127, 35, 83, 29], [10, 0, 4, 102, 43, 42, 7], [3, 0, 25, 27, 11, 59, 0]];[0.02040816326530612, 0.026490066225165563, 0.04452054794520548, 0.35664335664335667, 0.1174496644295302, 0.20192307692307693, 0.0];0.17503059975520197;0.10750652537651871;[[3, 1, 7, 15, 9, 44, 27], [0, 1, 2, 20, 2, 35, 6], [6, 3, 3, 13, 35, 65, 1], [9, 8, 4, 105, 13, 88, 19], [2, 0, 3, 60, 15, 37, 11], [6, 0, 2, 44, 23, 14, 1], [4, 0, 8, 8, 4, 29, 2]];[0.02830188679245283, 0.015151515151515152, 0.023809523809523808, 0.4268292682926829, 0.1171875, 0.15555555555555556, 0.03636363636363636];0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.4262208067940552;0.34596578312066745;[[238, 14, 6, 1, 4, 0, 0], [12, 176, 3, 0, 10, 0, 0], [14, 42, 229, 0, 0, 0, 0], [50, 388, 15, 67, 8, 0, 0], [59, 26, 10, 100, 93, 0, 0], [71, 116, 11, 0, 1, 0, 0], [90, 28, 2, 0, 0, 0, 0]];[0.9049429657794676, 0.8756218905472637, 0.8035087719298246, 0.1268939393939394, 0.3229166666666667, 0.0, 0.0];0.3769889840881273;0.31538719308938173;[[90, 8, 5, 1, 2, 0, 0], [7, 51, 3, 0, 5, 0, 0], [12, 16, 96, 0, 2, 0, 0], [29, 182, 6, 22, 7, 0, 0], [18, 21, 7, 33, 49, 0, 0], [33, 54, 3, 0, 0, 0, 0], [43, 9, 3, 0, 0, 0, 0]];[0.8490566037735849, 0.7727272727272727, 0.7619047619047619, 0.08943089430894309, 0.3828125, 0.0, 0.0];7.0;[3, 1, 1, 1, 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5402237613212574;0.5630949095404033;[[172, 19, 8, 5, 16, 2, 36], [5, 192, 2, 0, 5, 0, 0], [8, 44, 229, 0, 1, 0, 0], [11, 398, 9, 30, 59, 5, 8], [20, 20, 2, 18, 220, 9, 1], [12, 45, 10, 1, 10, 91, 27], [14, 30, 1, 0, 0, 2, 80]];[0.6666666666666666, 0.9411764705882353, 0.8120567375886525, 0.057692307692307696, 0.7586206896551724, 0.4642857142857143, 0.6299212598425197];0.5165238678090576;0.5464059389489356;[[72, 13, 4, 1, 5, 0, 11], [3, 57, 1, 0, 5, 0, 0], [4, 14, 103, 0, 4, 0, 1], [8, 190, 3, 6, 29, 1, 9], [3, 11, 4, 5, 103, 2, 0], [7, 16, 3, 0, 3, 47, 14], [7, 10, 1, 0, 0, 3, 34]];[0.6792452830188679, 0.8636363636363636, 0.8174603174603174, 0.024390243902439025, 0.8046875, 0.5222222222222223, 0.6181818181818182];14.0;[3, 3, 2, 1, 3, 1, 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9510204081632654;[[5, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0];0.5614973262032086;0.5663397272462055;[[213, 15, 14, 0, 8, 1, 7], [6, 185, 5, 0, 2, 0, 0], [11, 11, 269, 0, 0, 0, 0], [34, 369, 18, 22, 62, 1, 9], [31, 18, 6, 11, 209, 8, 5], [41, 34, 13, 0, 6, 85, 15], [28, 27, 3, 0, 0, 1, 67]];[0.8255813953488372, 0.9343434343434344, 0.9243986254295533, 0.04271844660194175, 0.7256944444444444, 0.4381443298969072, 0.5317460317460317];0.5214198286413708;0.5364832561780236;[[79, 9, 7, 0, 6, 0, 5], [6, 55, 3, 0, 2, 0, 0], [7, 4, 115, 0, 0, 0, 0], [21, 175, 8, 5, 28, 0, 9], [5, 8, 9, 5, 98, 3, 0], [23, 11, 3, 0, 2, 45, 6], [12, 7, 6, 0, 0, 1, 29]];[0.7452830188679245, 0.8333333333333334, 0.9126984126984127, 0.02032520325203252, 0.765625, 0.5, 0.5272727272727272];21.0;[5, 3, 3, 3, 5, 1, 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5684380032206119;0.559712736262721;[[110, 15, 11, 0, 10, 75, 17], [3, 183, 7, 0, 1, 3, 0], [4, 5, 275, 0, 1, 2, 0], [12, 253, 32, 29, 81, 86, 13], [5, 13, 16, 12, 211, 26, 2], [6, 9, 8, 0, 5, 187, 10], [5, 19, 8, 1, 0, 28, 64]];[0.46218487394957986, 0.9289340101522843, 0.9581881533101045, 0.05731225296442688, 0.7403508771929824, 0.8311111111111111, 0.512];0.5018359853121175;0.4899869581729454;[[36, 7, 6, 0, 5, 42, 10], [3, 54, 6, 0, 2, 1, 0], [6, 1, 117, 0, 0, 2, 0], [3, 122, 17, 5, 39, 47, 13], [1, 4, 10, 5, 96, 12, 0], [2, 4, 2, 0, 2, 75, 5], [3, 2, 9, 0, 0, 14, 27]];[0.33962264150943394, 0.8181818181818182, 0.9285714285714286, 0.02032520325203252, 0.75, 0.8333333333333334, 0.4909090909090909];28.0;[5, 4, 4, 3, 7, 3, 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[6, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6880387931034483;0.6844014999321312;[[154, 6, 6, 3, 21, 36, 10], [5, 162, 6, 1, 7, 3, 0], [5, 3, 267, 1, 3, 4, 0], [13, 72, 19, 153, 191, 30, 7], [11, 3, 2, 16, 287, 6, 0], [3, 10, 4, 0, 3, 195, 7], [9, 17, 4, 4, 3, 25, 59]];[0.652542372881356, 0.8804347826086957, 0.9434628975265018, 0.3154639175257732, 0.8830769230769231, 0.8783783783783784, 0.48760330578512395];0.576499388004896;0.5767762742934311;[[52, 5, 4, 3, 17, 16, 9], [3, 53, 3, 0, 6, 1, 0], [3, 1, 113, 0, 5, 4, 0], [11, 58, 11, 40, 108, 11, 7], [0, 1, 2, 4, 113, 8, 0], [1, 7, 2, 0, 2, 73, 5], [3, 4, 7, 0, 2, 12, 27]];[0.49056603773584906, 0.803030303030303, 0.8968253968253969, 0.16260162601626016, 0.8828125, 0.8111111111111111, 0.4909090909090909];35.0;[6, 4, 5, 4, 9, 4, 3]


Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09518773135906927;0.07800475960476114;[[61, 16, 46, 3, 0, 69, 50], [29, 4, 3, 0, 0, 25, 90], [246, 4, 9, 0, 0, 21, 12], [59, 85, 134, 12, 17, 199, 66], [33, 16, 66, 10, 0, 144, 29], [16, 8, 85, 1, 0, 79, 19], [9, 8, 62, 2, 0, 29, 15]];[0.24897959183673468, 0.026490066225165563, 0.030821917808219176, 0.02097902097902098, 0.0, 0.3798076923076923, 0.12];0.09791921664626684;0.08132092310474412;[[19, 3, 31, 2, 0, 19, 32], [12, 2, 1, 0, 1, 11, 39], [98, 1, 10, 0, 0, 10, 7], [21, 37, 59, 5, 7, 90, 27], [11, 4, 24, 1, 0, 73, 15], [5, 3, 36, 0, 0, 36, 10], [1, 2, 31, 1, 0, 12, 8]];[0.1792452830188679, 0.030303030303030304, 0.07936507936507936, 0.02032520325203252, 0.0, 0.4, 0.14545454545454545];0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 3, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.5132696390658175;0.3957617282127943;[[190, 0, 0, 51, 0, 2, 10], [13, 0, 5, 120, 0, 5, 1], [86, 0, 104, 81, 0, 10, 3], [62, 0, 1, 504, 0, 8, 3], [25, 0, 0, 252, 0, 9, 9], [46, 1, 2, 21, 0, 128, 9], [47, 0, 1, 34, 0, 0, 41]];[0.7509881422924901, 0.0, 0.36619718309859156, 0.8719723183391004, 0.0, 0.6183574879227053, 0.3333333333333333];0.4969400244798042;0.3875802573662392;[[77, 0, 0, 24, 0, 0, 5], [5, 0, 4, 55, 0, 0, 2], [42, 0, 44, 37, 0, 3, 0], [33, 0, 0, 210, 0, 2, 1], [6, 0, 0, 108, 0, 11, 3], [18, 0, 1, 11, 0, 56, 4], [25, 0, 0, 11, 0, 0, 19]];[0.7264150943396226, 0.0, 0.3492063492063492, 0.8536585365853658, 0.0, 0.6222222222222222, 0.34545454545454546];7.0;[1, 0, 1, 3, 0, 1, 1]
